UTC,Open,High,Low,Close,Volume
27.01.2025 18:02:00.000 UTC,2733.595,2734.585,2733.595,2734.175,0.02883
27.01.2025 18:03:00.000 UTC,2734.135,2734.175,2733.535,2733.995,0.02322
27.01.2025 18:04:00.000 UTC,2734.155,2734.885,2733.855,2734.725,0.02412
27.01.2025 18:05:00.000 UTC,2734.775,2735.285,2734.775,2735.165,0.01752
27.01.2025 18:06:00.000 UTC,2735.165,2735.295,2734.095,2734.225,0.01332
27.01.2025 18:07:00.000 UTC,2734.205,2735.065,2734.205,2734.955,0.01941
27.01.2025 18:08:00.000 UTC,2734.955,2735.565,2734.945,2734.965,0.02076
27.01.2025 18:09:00.000 UTC,2735.015,2735.385,2734.795,2734.975,0.01464
27.01.2025 18:10:00.000 UTC,2734.975,2735.545,2734.585,2735.045,0.0162
27.01.2025 18:11:00.000 UTC,2735.065,2735.785,2734.975,2735.635,0.01224
27.01.2025 18:12:00.000 UTC,2735.615,2735.615,2734.215,2734.215,0.01926
27.01.2025 18:13:00.000 UTC,2734.185,2734.835,2734.145,2734.675,0.0147
27.01.2025 18:14:00.000 UTC,2734.605,2735.055,2734.455,2734.765,0.01524
27.01.2025 18:15:00.000 UTC,2734.825,2735.615,2734.395,2735.455,0.01476
27.01.2025 18:16:00.000 UTC,2735.395,2735.465,2734.325,2734.495,0.01695
27.01.2025 18:17:00.000 UTC,2734.485,2735.285,2734.485,2734.995,0.01146
27.01.2025 18:18:00.000 UTC,2735.015,2735.155,2734.215,2734.285,0.02139
27.01.2025 18:19:00.000 UTC,2734.295,2734.795,2734.005,2734.685,0.01044
27.01.2025 18:20:00.000 UTC,2734.725,2735.285,2734.385,2734.835,0.01344
27.01.2025 18:21:00.000 UTC,2734.825,2734.975,2733.445,2733.445,0.02472
27.01.2025 18:22:00.000 UTC,2733.435,2734.035,2733.435,2733.765,0.0144
27.01.2025 18:23:00.000 UTC,2733.745,2734.535,2733.445,2734.305,0.01788
27.01.2025 18:24:00.000 UTC,2734.315,2734.725,2734.045,2734.525,0.01464
27.01.2025 18:25:00.000 UTC,2734.515,2734.725,2733.695,2733.715,0.01533
27.01.2025 18:26:00.000 UTC,2733.635,2733.965,2733.305,2733.695,0.01836
27.01.2025 18:27:00.000 UTC,2733.695,2734.945,2733.565,2734.945,0.02256
27.01.2025 18:28:00.000 UTC,2734.925,2735.875,2734.925,2735.865,0.027
27.01.2025 18:29:00.000 UTC,2735.865,2736.655,2735.655,2736.485,0.02976
27.01.2025 18:30:00.000 UTC,2736.355,2737.725,2736.335,2737.135,0.02592
27.01.2025 18:31:00.000 UTC,2737.148,2737.715,2736.535,2736.985,0.02053
27.01.2025 18:32:00.000 UTC,2737.048,2737.285,2736.675,2736.855,0.02233
27.01.2025 18:33:00.000 UTC,2736.845,2736.965,2735.565,2735.708,0.0374
27.01.2025 18:34:00.000 UTC,2735.685,2736.095,2735.368,2735.535,0.03782
27.01.2025 18:35:00.000 UTC,2735.595,2735.795,2735.285,2735.295,0.03386
27.01.2025 18:36:00.000 UTC,2735.318,2735.415,2734.405,2734.728,0.02029
27.01.2025 18:37:00.000 UTC,2734.728,2736.265,2734.728,2736.155,0.01104
27.01.2025 18:38:00.000 UTC,2736.125,2736.845,2736.125,2736.355,0.01224
